epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.2466818105201332,0.8938775510204081,0.09656447285697574,0.9761904761904762
2,0.09076601966303222,0.9693877551020408,0.06913058786165147,0.9809523809523809
3,0.04866718596645764,0.9846938775510204,0.03684547493855159,0.9904761904761905
4,0.033734567889145445,0.9857142857142858,0.06608939348232179,0.9809523809523809
5,0.028773662398512267,0.9928571428571429,0.04413464055174873,0.9857142857142858
6,0.01312685196420976,0.996938775510204,0.0505512518187364,0.9857142857142858
7,0.00988925957900225,0.996938775510204,0.053632157792647676,0.9809523809523809
8,0.008268598541177867,0.9989795918367347,0.03896296373790219,0.9809523809523809
9,0.0041037297909794265,1.0,0.06577978471205348,0.9809523809523809
10,0.007488035007703061,0.9989795918367347,0.08747166657731646,0.9714285714285714
